ลำดันที่2023,ลำดันที่2024,ยอดขายปี 2024 (MB),ชื่อสินค้า (ชื่อการค้า),สารสําคัญ,ชื่อสาร,กลุ่มสาร,Strategy Group,Formulation,ลักษณะกายภาพ,คุณสมบัติเด่น (Selling point),การดูดซึมเข้าสู่พืช,กลไกการออกฤทธิ์,ลักษณะการออกฤทธิ์,ศัตรูพืชที่กำจัดได้,ใช้ได้กับพืช,วิธีใช้,ช่วงการใช้,อัตราการใช้,ความเป็นพิษต่อพืชประธาน,แถบสีข้างฉลาก,หมายเลขทะเบียน,วันทะเบียนหมดอายุ,ประเภททะเบียนผลิต,แหล่งนำเข้าสินค้า,Link ของทะเบียนสินค้า
1,1,136,โมเดิน 50,OMETHOATE 50% W/V SL,โอเมทโทเอต,Insecticide,Expand,SL,น้ำ,สูตรเย็นปลอดภัย มีกลิ่นเหม็นช่วยไล่แมลง,Systemic ออกฤทธิ์แบบดูดซึม ,1B : Organophosphates (Nerve & Muscle) ,ออกฤทธิ์ดูดซึม กินตาย สัมผัสตาย และมีคุณสมบัติเป็นไอระเหยและมีกลิ่นในการช่วยไล่แมลง ทำให้ลดการระบาดและควบคุมได้นาน,เพลี้ยไฟ เพลี้ยจักจั่นฝอย เพลี้ยไก่แจ้,ปลอดภัยใช้ได้ทุกพืช โดยเฉพาะทุเรียน,ผสมน้ำฉีดพ่นบริเวณที่ใบให้ทั่วทรงพุ่ม,ป้องกันแมลงในระยะแตกใบอ่อน,300 ซีซีต่อ 200 ลิตร,ปลอดภัยสูง,สีเหลือง,,31/1/2569,,"Labor Kaifeng Agrochemicals Co.,Ltd.",http://system.icpladda.com/CDN//omethoate%2050%20SL_%E0%B9%82%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%2050_16042021_101559.pdf
2,2,66,พรีดิคท์ 25,PACLOBUTRAZOL 25% SC,แพคโคบิวทราโซล,PGR,Expand,SC,น้ำ,สูตรครีม เข้มข้น ดูดซึมเร็ว เกษตรกรมั่นใจใช้มานาน,Systemic ออกฤทธิ์แบบดูดซึม ,PGR (Plants Growth Regulator) ช่วยยับยั้งการทำงานของ Gib ลดการแตกใบอ่อน ช่วยเพิ่มปริมาณการออกดอก,ใช้ควบคุมการเจริญเติบโตของพืช สามารถดูดซึมผ่านทางรากและทางใบ ราดทางดินจะดูดซึมได้ดีและเร็วกว่า เพิ่มความเขียวของใบ สะสมแป้ง และน้ำตาล เร่งใบให้แก่ พัฒนาตาดอก,ยับยั้งการแตกใบอ่อน,ทุเรียน,ผสมน้ำฉีดพ่นบริเวณที่ใบให้ทั่วทรงพุ่ม,ทุเรียน : ใช้พ่นที่ใบ ในระยะใบเพสลาด,800-1000 ซีซีต่อไร่,ปลอดภัย,สีน้ำเงิน,1621-2556,04/09/2025,,"YANCHENG LIMIN CHEMICAL CO., LTD.",http://system.icpladda.com/CDN//paclobutrazole%2025%20SC_%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B8%94%E0%B8%B4%E0%B8%84%E0%B8%97%E0%B9%8C%2025%20%E0%B9%80%E0%B8%AD%E0%B8%9F_17012021_142252.pdf
4,3,54,ราเซอร์,ACETOCHLOR 50% W/V EC,อะเซโทคลอร์,Herbicide,Expand, EC,น้ำ,สูตรต้นตำหรับยาคุมแห้งในพืชไร่ คุมได้นาน 3 เดือน  ใช้ตัวทำละลาย Solvesso oil ทำให้สารออกฤทธิ์ของความคงตัวสูง เปอร์เซ็นต์สารออกฤทธิ์ไม่ตกง่าย เนื้อยาไม่แยกชั้น ไม่ตกตะกอน และไม่ไวไฟ ,Systemic ออกฤทธิ์แบบดูดซึม ,K3 : Inhibition of Very Long-Chain Fatty Acid Synthesis,ยาคุมแห้งในพืชไร่ คุมได้นาน 3 เดือน,วัชพืชใบแคบ วัชพืชใบกว้าง และกก,พืชไร่่ อ้อย ข้วโพด มันสำปะหลัง หอมกระเทียม,ผสมน้ำฉีดพ่นบริเวณที่หน้าดินให้ทั่วถึง และสม่ำเสมอ,ใช้หลังปลูกพืชประธาน 0-3 วัน  ,800 ซีซีต่อไร่,ปลอดภัย,สีน้ำเงิน,1804-2555,30/09/2030,Formulate from TC,"SHANDONG WEIFANG RAINBOW CHEMICAL CO., LTD.",http://system.icpladda.com/CDN//acetochlor%2050%20EC_%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B9%8C_26092024_095538.pdf
6,4,52,พาสนาว,GLUFOSINATE-AMMONIUM 15% W/V SL,กลูโฟซิเนต แอมโมเนียม,Herbicide,Natural,SL,น้ำ,กลูโฟสูตรน้ำ 1 ใช้วัตถุดิบในการผลิต Tech แหล่งคุณภาพดี ความบริสุทธิ์สูง เพิ่มสารเสริมประสิทธิภาพอย่างดี วัชพืชตายดีกว่าสูตรธรรมดาทั่วไป ,Contact ออกฤทธิ์แบบสัมผัส,H : Inhibition of Glutamine Synthetase ออกฤทธิ์ ยับยั้งการสังเคราะห์ “ glutamine”,ลักษณะการตายของวัชพืชแสดงอาการเหลือง ใน 3 วัน และแห้งตายภายใน 7-10 วัน,วัชพืชใบแคบ วัชพืชใบกว้าง และกก,พืชไร่ และไม้ยืนต้น,ผสมน้ำฉีดพ่นที่ใบของวัชพืชให้ทั่วถึง และ ระวังไม่ให้ละอองปลิวไปโดนพืชประธานและ พืชใกล้เคียง,ก่อนปลูกพืช และหลังปลูกพืช 2-3 เดือน (หญ้ายังไม่ออกดอก หรือความสูงไม่เกิน 30 cm),800-1000 ซีซีต่อไร่,ค่อนข้างปลอดภัย ควรหลีกเลี่ยงพ่นโดนพืชพระธาน ไม่ดูดซึมเข้าทางราก,สีน้ำเงิน,1554-2564,20/06/2027,,"YONGNONG BIOSCIENCES CO., LTD.",http://system.icpladda.com/CDN//glufosinate%2015%20SL_%E0%B8%9E%E0%B8%B2%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%A7_07072021_235227.pdf
3,5,51,โค-ราซ,PROCHLORAZ 45% W/V EW,โพรคลอราซ,Fungicide,Expand, EW,น้ำ,สูตร EW ปลอดภัยต่อดอก เด่นในการควบคุมโรค แอนแทรคโนส,Translaminar ออกฤทธิ์แบบแทรกซึม ,"3 : imidazoles (G: sterol biosynthesis in membranes)",ออกฤทธิ์แบบแทรกซึม,ใช้ป้องกันกำจัดโรคเชื้อรา เช่น แอนแทรคโนส ใบไหม้ ใบจุดสนิม ,"ทุเรียน , มะม่วง(บางสายพันธุ์)",ผสมน้ำฉีดพ่นบริเวณ ดอกและผลอ่อน,ระยะดอก หรือ ระยะผล ในช่วงที่สภาพอากาศมีความชื้นสูง หรือฝนตกชุก,100-150 ซีซีต่อ 200 ลิตร,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//prochloraz%2045%20EW_%E0%B9%82%E0%B8%84-%E0%B8%A3%E0%B8%B2%E0%B8%8B_29042025_111746.pdf
9,6,48,ทูโฟฟอส,"2,4-D-BUTYL 3.76% + ANILOFOS 1.5% GR","อะนิโลฟอส+2,4-D",Herbicide,Skyrocket,GR,ทราย,กำจัดข้าวดีด และวัชพืชดื้อยาได้ดีเยี่ยม,Systemic ออกฤทธิ์แบบดูดซึม ,K3 : Inhibition of Very Long-Chain Fatty Acid Synthesis + O : Auxin Mimics,กำจัดวัชพืชทุกชนิด ที่จมอยู่ใต้น้ำหลังหว่านยา,ข้ววัชพืช (ข้าวดีด) วัชพืชใบแคบ วัชพืชใบกว้าง และกก ในนาข้าว,นาข้าว,ใช้หว่าน ให้สม่ำเสมอ ทั่วพื้นที่ตามอัตราที่แนะนำ,ใช้หว่านที่ระยะ 8 วันหลังหว่านข้าว และกักน้ำไว้อีกอย่างน้อย 10 วัน, 5 กก. ต่อไร่,มีความเสี่ยงเป็นพิษต่อข้าวปลูกได้ หากเกิดการน้ำท่วมยอดข้าว,สีน้ำเงิน,,,,,"http://system.icpladda.com/CDN//2,4-D-butyl%20anilofos_%E0%B8%97%E0%B8%B9%E0%B9%82%E0%B8%9F%E0%B8%9F%E0%B8%AD%E0%B8%AA_17032025_140537.pdf"
12,7,36,นาแดน-จี,CARTAP HYDROCHLORIDE 4% GR,คาร์แทป 4 จี,Insecticide,Expand,GR,ทราย,1.ใช้ป้องกันกำจัด หนอนกอข้าว เช่น หนอนกอแถบลาย หนอนกอสีครีม หนอนกอสีชมพู หนอนกอลายม่วง ออกฤทธิ์แบบดูดซึม ทำให้แมลงไม่กินอาหารและตายในที่สุด ปลอดภัยต่อปลาน้ำลึก  2. เม็ดสีม่วงอ่อน ขนาดของเม็ดใหญ่สม่ำเสมอ ไม่มีสิ่งเจือปน กลิ่นฉุนเล็กน้อย  3. หว่านง่าย ไม่ติดมือ และเครื่องฉีดพ่น มีกลิ่นเล็กน้อยและไม่มีฝุ่นผงรบกวนการใช้ของเกษตรกร  4. ไม่มีความชื้น ด้วยกระบวนการผลิตที่มีคุณภาพของทางโรงงาน และเรายังรับประกันถ้าเกิดความชื้นที่เกิดจากเนื้อยาภายใน 2 ปี  ,Systemic ออกฤทธิ์แบบดูดซึม ,14 : Nicotinic acetylcholine receptor (nAChR) channel blockers,ออกฤทธิ์แบบดูดซึม ทำให้แมลงไม่กินอาหารและตายในที่สุด ปลอดภัยต่อปลาน้ำลึก,ใช้ป้องกันกำจัด หนอนกอข้าว เช่น หนอนกอแถบลาย หนอนกอสีครีม หนอนกอสีชมพู หนอนกอลายม่วง,นาข้าว นาหว่านน้ำตม นาดำ,ใช้หว่าน ให้ทั่วพื้นที่ ตามอัตราที่แนะนำ,นาข้าว ใช้หว่านในระยะข้าวอายุ 20 วันหรือพร้อมการหว่านปุ๋ยครั้งแรก เพื่อป้องกัน หนอนกอ ,นาข้าวใช้ 3-5 กก. ต่อไร่ ,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//cartap%204%20GR_%E0%B8%99%E0%B8%B2%E0%B9%81%E0%B8%94%E0%B8%99-%E0%B8%88%E0%B8%B5._03122024_104102.pdf
20,8,35,นาแดน 6 จี,CARTAP HYDROCHLORIDE 3% + FENOBUCARB 3% GR,คาร์แทป+ฟีโนบูคาร์บ 6 จี,Insecticide,Expand,GR,ทราย,1.ใช้ป้องกันกำจัด เพลี้ยกระโดดสีน้ำตาล เพลี้ยกระโดดหลังขาว เพลี้ยจักจั่นเขียว หนอนกอสีครีม หนอนกอแถบลายม่วง หนอนกอแถบลาย หนอนห่อใบข้าว ออกฤทธิ์แบบดูดซึม และสัมผัสตาย กินตาย   2. เม็ดสีน้ำเงิน ขนาดของเม็ดใหญ่สม่ำเสมอ ไม่มีสิ่งเจือปน กลิ่นฉุนเล็กน้อย   3. หว่านง่าย ไม่ติดมือ และเครื่องฉีดพ่น มีกลิ่นเล็กน้อยและไม่มีฝุ่นผงรบกวนการใช้ของเกษตรกร  4. ไม่มีความชื้น ด้วยกระบวนการผลิตที่มีคุณภาพของทางโรงงาน และเรายังรับประกันถ้าเกิดความชื้นที่เกิดจากเนื้อยาภายใน 2 ปี  ,Systemic ออกฤทธิ์แบบดูดซึม,"14 : Nicotinic acetylcholine receptor (nAChR) channel blockers + 1A : Inhibit AChE, causing hyperexcitation.",ออกฤทธิ์แบบดูดซึม ทำให้แมลงไม่กินอาหารและตายในที่สุด ปลอดภัยต่อปลาน้ำลึก,ใช้ป้องกันกำจัด  เพลี้ยกระโดดสีน้ำตาล เพลี้ยกระโดดหลังขาว เพลี้ยจักจั่นเขียว หนอนกอสีครีม หนอนกอแถบลายม่วง หนอนกอแถบลาย หนอนห่อใบข้าว,นาข้าว นาหว่านน้ำตม นาดำ,ใช้หว่าน ให้ทั่วพื้นที่ ตามอัตราที่แนะนำ,นาข้าว ใช้หว่านในระยะข้าวอายุ 20 วันหรือพร้อมการหว่านปุ๋ยครั้งแรก เพื่อป้องกัน หนอนกอ ,นาข้าวใช้ 3-5 กก. ต่อไร่ ,ปลอดภัยสูง,สีเหลือง,,,,,http://system.icpladda.com/CDN//cartap+fenobucarb_%E0%B8%99%E0%B8%B2%E0%B9%81%E0%B8%94%E0%B8%99%206%20%E0%B8%88%E0%B8%B5_22022021_091627.pdf
7,9,26,ก๊อปกัน,MANCOZEB 80% WP ,แมนโคเซบ,Fungicide,Natural,WP,ผง,เนื้อยาฟู ละลายดี นำเข้าจากแหล่งอิเดีย โรงงานผลิตที่มี Knowhow และมีคุณภาพดีที่สุด Top 3 ในโลก สามารถใช้สลับหรือใช้ผสมร่วมกับ ยาดูดซึม เพื่อป้องกันและลดโอกาศการดื้อยาของโรคเชื้อราได้ดี,Contact ออกฤทธิ์แบบสัมผัส,"M 03 : dithio-carbamates (M: Chemicals with multi-site activity)",ออกฤทธิ์แบบสัมผัสใช้ในเชิงป้องกันก่อนการเกิดโรค ,ป้องกันโรคเชื้อรา เช่น แอนแทรคโนส ใบไหม้ ใบจุดสนิม  ราน้ำค้าง,"ไม้ผล เช่น ทุเรียน , มะม่วง  และกลุ่มพืชผัก",ผสมน้ำฉีดพ่นบริเวณให้ทั่วบริเวณทรงพุ่ม,ใช้ป้องกันการเกิดโรคได้ทุกระยะ,300 กรัมต่อ 200 ลิตร,ปลอดภัย,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//mancozeb%2080%20WP_%E0%B8%81%E0%B9%8A%E0%B8%AD%E0%B8%9B%E0%B8%81%E0%B8%B1%E0%B8%99_19112024_135229.pdf
11,10,23,แอนดาแม็กซ์,PROPINEB 70% WP,โพรพิเน็บ,Fungicide,Natural,WP,ผง,เนื้อยาสีขาวนวล เนื้อฟู ละลายดี ให้ธาตุสังกะสี ช่วยให้พืชเขียวแข็งแรง นำเข้าจากแหล่งผลิตที่มีคุณภาพดี สามารถใช้สลับหรือใช้ผสมร่วมกับ ยาดูดซึม เพื่อป้องกันและลดโอกาศการดื้อยาของโรคเชื้อราได้ดี,Contact ออกฤทธิ์แบบสัมผัส,"M 03 : dithio-carbamates
 (M: Chemicals with multi-site activity)",ออกฤทธิ์แบบสัมผัสใช้ในเชิงป้องกันก่อนการเกิดโรค ,ป้องกันโรคเชื้อรา เช่น แอนแทรคโนส ใบไหม้ ใบจุดสนิม  ,ปลอดภัย ใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ใช้ป้องกันการเกิดโรคได้ทุกระยะ,300 กรัมต่อ 200 ลิตร,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//propineb%2070%20WP_%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B8%B2%E0%B9%81%E0%B8%A1%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C_29042024_100533.pdf
5,11,20,อัพดาว,GLYPHOSATE ISOPROPYLAMMONIUM 48% W/V SL (IPA),ไกลโฟเสต,Herbicide,Natural,SL,น้ำ,สูตร IPA แท้ ทนฝน ตายนาน ถึงรากถึงโคน,Systemic ออกฤทธิ์แบบดูดซึม ,G : Inhibition of Enolpyruvyl Shikimate Phosphate Synthase ยับยั้งเอนไซม์ที่ทำหน้าที่ในการสังเคราะห์กรดอะมิโนจำพวกอะโรมาติก,ลักษณะการตายของวัชพืชแสดงอาการเหลือง ใน 7 วัน และแห้งตายภายใน 14 วัน,วัชพืชใบแคบ วัชพืชใบกว้าง และกก,ไม้ยืนต้น เช่น ปาล์ม ยาง,ผสมน้ำฉีดพ่นที่ใบของวัชพืชให้ทั่วถึง และ ระวังไม่ให้ละอองปลิวไปโดนพืชประธานและ พืชใกล้เคียง,ก่อนปลูกพืช และหลังปลูกพืช 2-3 เดือน (หญ้ายังไม่ออกดอก หรือความสูงไม่เกิน 30 cm),800-1000 ซีซีต่อไร่,มีความเสี่ยงเป็นพิษต่อพืชประธาน การลงหัวในมันสำปะหลัง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//glyphosate%2048%20SL_%E0%B8%AD%E0%B8%B1%E0%B8%9E%E0%B8%94%E0%B8%B2%E0%B8%A7_17042024_094927.pdf
8,12,19,กะรัต 35,CYPERMETHRIN 35% W/V EC,ไซเปอร์เมทริน,Insecticide,Natural,EC,น้ำ,ใช้สูตรผสมตัวทำละลายอย่างดี รับประกันคุณภาพในการผลิต นำเข้าจากแหล่งผลิตที่มีคุณภาพดีที่สุด Top 3 ในโลก ,Contact ออกฤทธิ์แบบสัมผัส,"3A : Pyrethroids Sodium channel modulators (Keep sodium channels open, causing hyperexcitation and, in some cases, nerve block. Sodium channels are involved in the propagation of action potentials along nerve axons.)",ออกฤทธิ์แบบสัมผัสตาย แบบ Fast Knockdown เป็นยาน็อค ออกฤทธิ์เร็ว,แมลงและหนอน กัดกินใบ ดอก และผล,ปลอดภัยใช้ได้ทุกพืช ยกเว้นห้ามใช้ในนาข้าว,ผสมน้ำฉีดพ่นบริเวณที่ใบให้ทั่วทรงพุ่ม,ใช้บวกหรือสลับเพื่อป้องกันกำจัดแมลงและหนอนได้ทุกระยะ ตั้งแต่ แตกใบอ่อนจนถึงเก็บเกี่ยว,100-200 ซีซีต่อ 200 ลิตร,ปลอดภัย,สีเหลือง,,,,,http://system.icpladda.com/CDN//cypermethrin%2035%20EC_%E0%B8%81%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%95%2035_01102024_095029.pdf
19,13,17,เบนซาน่า เอฟ,CARBENDAZIM 50% W/V SC,คาร์เบ็นดาซิม,Fungicide,Natural,SC,น้ำ,สูตรครีม เข้มข้น ดูดซึมเร็ว เกษตรกรมั่นใจ,Systemic ออกฤทธิ์แบบดูดซึม ,1 : MBC-fungicides(Methyl Benzimidazole Carbamates),ออกฤทธิ์แบบดูดซึม สามารถป้องกันกำจัดโรคได้กว้างขวาง,ใช้ป้องกันกำจัดโรคเชื้อรา เช่น แอนแทรคโนส ใบไหม้  ราสนิม ,ปลอดภัย ใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ใช้ป้องกันการเกิดโรคได้ทุกระยะ,100-200 ซีซีต่อ 200 ลิตร,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//carbendazim%2050%20SC_%E0%B9%80%E0%B8%9A%E0%B8%99%E0%B8%8B%E0%B8%B2%E0%B8%99%E0%B9%88%E0%B8%B2%20%E0%B9%80%E0%B8%AD%E0%B8%9F_22082024_225204.pdf
22,14,16,ไดแพ๊กซ์ 80 ดับเบิ้ลยู.จี.,AMETRYN 80% WG,อามีทริน 80,Herbicide,Natural,WG,ผง,1. ประสิทธิภาพในการกำจัดวัชพืชหลากหลาย: มีประสิทธิภาพในการกำจัดวัชพืชประเภทใบแคบ เช่น หญ้าตีนกา หญ้าตีนนก และหญ้าปากควาย รวมถึงวัชพืชประเภทใบกว้าง เช่น ผักเบี้ยหิน ผักโขมและผักโขมหนาม การออกฤทธิ์แบบดูดซึม: 2. สามารถดูดซึมผ่านทั้งรากและใบของวัชพืช และเคลื่อนย้ายภายในพืชผ่านท่อน้ำไปยังปลายยอด 3. รูปแบบสารที่ใช้งานง่าย: มาในรูปแบบเม็ด (WG) ที่ละลายน้ำได้ดี ไม่ฟุ้งกระจาย และไม่อุดตันหัวฉีด ทำให้การใช้งานสะดวกและปลอดภัยยิ่งขึ้น,Systemic ออกฤทธิ์แบบดูดซึม ,C1 : Inhbition of Photosynthesis at PSII - Serine 264 Binders,กลไกการออกฤทธิ์: อะมีทรีนยับยั้งกระบวนการสังเคราะห์แสงในระบบแสงที่ 2 (PS II) โดยขัดขวางการขนส่งอิเล็กตรอน ส่งผลให้การตรึงคาร์บอนไดออกไซด์และการสร้างพลังงานที่จำเป็นต่อการเจริญเติบโตของวัชพืชลดลง ทำให้วัชพืชใบเหลืองและแห้งตาย ,วัชพืชใบแคบ วัชพืชใบกว้าง และกก,อ้อย  ,ผสมน้ำฉีดพ่นที่ใบของวัชพืชให้ทั่วถึง และ ระวังไม่ให้ละอองปลิวไปโดนพืชประธานและ พืชใกล้เคียง   ,ใช้พ่นเพื่อกำจัดวัชพืช ในระยะหลังปลูกอ้อย ประมาณ  20-30 วัน,500 กรัม ต่อไร่,"1. ไม่ควรพ่นในพื้นที่ที่ลมแรง เพราะละอองสารอาจปลิวไปยังพืชที่ไม่ต้องการกำจัด เช่น พืชใบกว้างชนิดอื่น
 2. ใช้ในอัตราที่แนะนำเพื่อป้องกันการตกค้างและผลกระทบต่ออ้อย",สีเหลือง,,,,,http://system.icpladda.com/CDN//ametryn%2080%20WG_%E0%B9%84%E0%B8%94%E0%B9%81%E0%B8%9E%E0%B9%8A%E0%B8%81%E0%B8%8B%E0%B9%8C%2080%20%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B9%89%E0%B8%A5%E0%B8%A2%E0%B8%B9%E0%B8%88%E0%B8%B5_17022025_162502.pdf
24,15,16,อะนิลการ์ด,ANILOFOS 30% W/V EC,อะนิโลฟอส,Herbicide,Skyrocket,EC,น้ำ,"1. การออกฤทธิ์แบบดูดซึม: สารนี้สามารถดูดซึมผ่านรากและใบของวัชพืช หลังการใช้ วัชพืชจะหยุดการเจริญเติบโต เปลี่ยนเป็นสีเขียวคล้ำ และตายในที่สุด 2. ประสิทธิภาพในการควบคุมวัชพืชหลากหลายชนิด: มีประสิทธิภาพในการควบคุมวัชพืชใบแคบ เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชใบกว้าง เช่น ผักปอดนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกขนาก และกกทราย 3. ช่วยแก้ไขปัญหาวัชพืชที่ดื้อยาต่อสารเดิมๆที่เกษตรกรที่มีการใช้ซ้ำบ่อยๆ โดยเฉพาะ ""หญ้าข้าวนก""",Systemic ออกฤทธิ์แบบดูดซึม ,K3 : Inhibition of Very Long-Chain Fatty Acid Synthesis,การออกฤทธิ์แบบดูดซึม: สารนี้สามารถดูดซึมผ่านรากและใบของวัชพืช หลังการใช้ วัชพืชจะหยุดการเจริญเติบโต เปลี่ยนเป็นสีเขียวคล้ำ และตายในที่สุด ,ประสิทธิภาพในการควบคุมวัชพืชใบแคบ เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชใบกว้าง เช่น ผักปอดนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกขนาก และกกทราย ,นาข้าว,ผสมน้ำฉีดพ่นบริเวณที่หน้าผิวดินให้ทั่วถึง และละอองจับกับต้นวัชพืชอย่างสม่ำเสมอ,สามารถใช้หลังจากวัชพืชงอก (post-emergence) ในข้าวนาหว่านน้ำตม โดยพ่นสารหลังหว่านข้าว 7-12 วัน ก่อนพ่นสารควรระบายน้ำออกจากนา และทดน้ำเข้านาหลังพ่นสาร 1-3 วัน,อัตราใช้ 50-100 ซีซีต่อไร่ ใช้ร่วมกับ ยาคุม-ฆ่า เช่น โคเบิล อัตรา 200-250 ซีซีต่อไร่ ,"1. ไม่ควรพ่นในพื้นที่ที่ลมแรง เพราะละอองสารอาจปลิวไปยังพืชที่ไม่ต้องการกำจัด
 2. ใช้ในอัตราที่แนะนำเพื่อป้องกันการตกค้างและผลกระทบต่อข้าว
 3. ห้ามพ่นจี้หรือซ้ำอาจทำให้ข้าวยุบหรือตายได้",สีเหลือง,,,,,http://system.icpladda.com/CDN//anilofos%2030%20EC_%E0%B8%AD%E0%B8%B0%E0%B8%99%E0%B8%B4%E0%B8%A5%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94_18062024_140335.pdf
18,16,14,อิมิดาโกลด์ 70,IMIDACLOPRID 70% WG,อิมิดาคลอพริด,Insecticide,Natural,WG,ผง,ออกฤทธิ์ดูดซึมได้ดี ใช้น้อย ปลอดภัย มีประสิทธิภาพสูง ใช้ในการกำจัดแมลงปากดูด ปลอดภัยต่อสัตว์เลี้ยงลูกด้วยน้ำนมสูง,Systemic ออกฤทธิ์แบบดูดซึม ,4A : Nicotinic acetylcholine receptor (nAChR) competitive modulators,ออกฤทธิ์แบบดูดซึม ทำลายที่ระบบประสาทของแมลง ทำให้แมลงเป็นอัมพาตและตายในที่สุด ,นาข้าว : เพลี้ยไฟ เพลี้ยกระโดดสีน้ำตาล     ไม้ผล : เพลี้ยไฟ เพลี้ยแป้ง เพลี้ยไก่แจ้ เพลี้ยจักจั่น,ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันแมลงประเภท ปากดูด ได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,50-100 กรัม ต่อน้ำ 200 ลิตร,ปลอดภัยสูง,สีเหลือง,,,,,http://system.icpladda.com/CDN//imidacloprid%2070%20WG_%E0%B8%AD%E0%B8%B4%E0%B8%A1%E0%B8%B4%E0%B8%94%E0%B8%B2%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C%2070_13112024_111502.pdf
